TYPE,YTD CURTAILED MWH
LocalEconomic,"90,222"
LocalExDispatch,"1,336"
LocalSelfSchCut,"3,697"
SystemEconomic,"208,902"
SystemExDispatch,453
SystemSelfSchCut,828
TOTAL,"305,438"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW,
"",R,,,,,,
07/01,7 Economic,,Local,SOLR,0,,
07/01,7 Economic,,System,SOLR,0,,2
07/01,8 Economic,,Local,SOLR,2,,
07/01,8 Economic,,System,SOLR,0,,5
07/01,8 ExDispatch,,Local,SOLR,1,,
07/01,8 ExDispatch,,System,SOLR,0,,3
07/01,9 ExDispatch,,Local,SOLR,0,,
07/01,9 ExDispatch,,System,SOLR,1,,5
07/01,10 ExDispatch,,Local,SOLR,1,,
07/01,10 ExDispatch,,System,SOLR,3,,5
07/01,11 ExDispatch,,Local,SOLR,1,,
07/01,11 ExDispatch,,System,SOLR,3,,7
07/01,12 ExDispatch,,Local,SOLR,1,,4
07/01,12 ExDispatch,,System,SOLR,0,,
07/01,13 SelfSchCut,,Local,SOLR,0,,1
07/01,14 ExDispatch,,Local,SOLR,0,,1
07/01,15 ExDispatch,,Local,SOLR,0,,
07/01,15 ExDispatch,,System,SOLR,1,,3
07/01,18 Economic,,System,SOLR,1,,7
