TYPE,YTD CURTAILED MWH
LocalEconomic,"87,978"
LocalExDispatch,"1,299"
LocalSelfSchCut,"3,677"
SystemEconomic,"208,554"
SystemExDispatch,426
SystemSelfSchCut,828
TOTAL,"302,762"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
06/19,9 ExDispatch,,System,SOLR,0,0
06/19,10 ExDispatch,,System,SOLR,0,1
06/19,11 ExDispatch,,Local,SOLR,1,3
06/19,11 ExDispatch,,System,SOLR,1,
06/19,12 ExDispatch,,Local,SOLR,2,
06/19,12 ExDispatch,,System,SOLR,2,5
06/19,13 ExDispatch,,Local,SOLR,2,3
06/19,13 ExDispatch,,System,SOLR,0,
06/19,14 ExDispatch,,Local,SOLR,1,1
06/19,15 Economic,,Local,SOLR,0,1
06/19,15 ExDispatch,,Local,SOLR,2,3
06/19,15 ExDispatch,,System,SOLR,1,
06/19,16 Economic,,Local,SOLR,15,86
06/19,16 ExDispatch,,Local,SOLR,2,2
06/19,16 ExDispatch,,System,SOLR,0,
06/19,17 ExDispatch,,Local,SOLR,1,
06/19,17 ExDispatch,,System,SOLR,0,2
06/19,18 ExDispatch,,Local,SOLR,0,0
06/19,18 ExDispatch,,System,SOLR,0,
