TYPE,YTD CURTAILED MWH
08/06,9 Economic,,System,SOLR,2,20
08/06,9 ExDispatch,,Local,SOLR,0,
08/06,11 Economic,,Local,SOLR,25,62
08/06,11 ExDispatch,,System,SOLR,0,0
08/06,12 ExDispatch,,Local,SOLR,0,
08/06,12 ExDispatch,,System,SOLR,2,5
08/06,13 Economic,,Local,SOLR,1,3
08/06,14 ExDispatch,,Local,SOLR,0,
08/06,14 ExDispatch,,System,SOLR,0,2
08/06,17 ExDispatch,,Local,SOLR,0,0
08/06,17 ExDispatch,,System,SOLR,0,
08/06,18 Economic,,System,SOLR,0,4
TYPE,YTD CURTAILED MWH
LocalEconomic,"97,047"
LocalExDispatch,"1,413"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,058"
SystemExDispatch,525
SystemSelfSchCut,828
TOTAL,"312,572"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/07,9 ExDispatch,,Local,SOLR,0,0
08/07,9 ExDispatch,,System,SOLR,0,
08/07,10 Economic,,Local,SOLR,1,10
08/07,10 Economic,,System,SOLR,1,
08/07,11 Economic,,Local,SOLR,7,89
08/07,11 ExDispatch,,Local,SOLR,0,
08/07,11 ExDispatch,,System,SOLR,0,
08/07,12 ExDispatch,,Local,SOLR,0,0
08/07,12 ExDispatch,,System,SOLR,0,
08/07,13 Economic,,System,SOLR,0,2
08/07,15 Economic,,Local,SOLR,8,37
08/07,16 Economic,,Local,SOLR,10,118
08/07,17 ExDispatch,,Local,SOLR,0,0
08/07,17 ExDispatch,,System,SOLR,0,
08/07,18 Economic,,Local,SOLR,0,4
TYPE,YTD CURTAILED MWH
LocalEconomic,"97,127"
LocalExDispatch,"1,413"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,058"
SystemExDispatch,525
SystemSelfSchCut,828
TOTAL,"312,653"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/08,9 ExDispatch,,Local,SOLR,0,0
08/08,9 ExDispatch,,System,SOLR,0,
08/08,10 Economic,,Local,SOLR,18,69
08/08,11 Economic,,Local,SOLR,0,1
08/08,11 ExDispatch,,Local,SOLR,0,
08/08,12 ExDispatch,,Local,SOLR,0,1
08/08,12 ExDispatch,,System,SOLR,0,
08/08,13 Economic,,Local,SOLR,17,63
08/08,14 Economic,,Local,SOLR,0,4
08/08,15 Economic,,Local,SOLR,28,208
08/08,16 Economic,,Local,SOLR,16,59
08/08,17 ExDispatch,,Local,SOLR,0,0
08/08,18 Economic,,Local,SOLR,0,4
08/08,18 ExDispatch,,Local,SOLR,0,0
TYPE,YTD CURTAILED MWH
LocalEconomic,"97,213"
LocalExDispatch,"1,413"
LocalSelfSchCut,"3,701"
SystemEconomic,"209,058"
SystemExDispatch,525
SystemSelfSchCut,828
TOTAL,"312,739"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
08/09,9 ExDispatch,,Local,SOLR,0,0
08/09,10 Economic,,Local,SOLR,2,24
08/09,11 Economic,,Local,SOLR,3,28
08/09,11 ExDispatch,,Local,SOLR,0,
08/09,11 ExDispatch,,System,SOLR,0,
08/09,12 ExDispatch,,Local,SOLR,0,
