TYPE,YTD CURTAILED MWH
LocalEconomic,"82,141"
LocalExDispatch,"1,196"
LocalSelfSchCut,"3,613"
SystemEconomic,"195,137"
SystemExDispatch,337
SystemSelfSchCut,820
TOTAL,"283,245"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
06/01,8 Economic,,Local,SOLR,6,
06/01,8 Economic,,System,SOLR,22,232
06/01,8 ExDispatch,,Local,SOLR,0,
06/01,9 Economic,,Local,SOLR,320,1146
06/01,9 Economic,,Local,WIND,1,3
06/01,9 Economic,,System,SOLR,545,9
06/01,9 Economic,,System,WIND,6,
06/01,10 Economic,,Local,SOLR,129,423
06/01,10 Economic,,System,SOLR,91,203
06/01,10 ExDispatch,,Local,SOLR,0,
06/01,10 ExDispatch,,System,SOLR,0,
06/01,11 Economic,,System,SOLR,2,21
06/01,11 ExDispatch,,Local,SOLR,0,
06/01,11 ExDispatch,,System,SOLR,1,2
06/01,12 Economic,,Local,SOLR,9,
06/01,12 Economic,,System,SOLR,4,51
06/01,12 ExDispatch,,Local,SOLR,2,
06/01,12 ExDispatch,,System,SOLR,1,3
06/01,12 SelfSchCut,,Local,SOLR,4,5
06/01,13 Economic,,Local,SOLR,1,
06/01,13 ExDispatch,,Local,SOLR,2,
06/01,13 ExDispatch,,System,SOLR,2,4
06/01,13 SelfSchCut,,Local,SOLR,1,5
06/01,14 Economic,,Local,SOLR,0,0
06/01,14 ExDispatch,,Local,SOLR,1,4
06/01,14 ExDispatch,,System,SOLR,1,
