TYPE,YTD CURTAILED MWH
LocalEconomic,"90,245"
LocalExDispatch,"1,344"
LocalSelfSchCut,"3,697"
SystemEconomic,"208,907"
SystemExDispatch,464
SystemSelfSchCut,828
TOTAL,"305,485"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW,
"",R,,,,,,
07/03,8 ExDispatch,,Local,SOLR,0,,
07/03,8 ExDispatch,,System,SOLR,1,,3
07/03,9 ExDispatch,,Local,SOLR,0,,
07/03,9 ExDispatch,,System,SOLR,1,,3
07/03,10 ExDispatch,,Local,SOLR,1,,
07/03,10 ExDispatch,,System,SOLR,2,,4
07/03,11 Economic,,Local,SOLR,0,,
07/03,11 ExDispatch,,Local,SOLR,1,,4
07/03,11 ExDispatch,,System,SOLR,0,,
07/03,12 Economic,,Local,SOLR,1,,2
07/03,12 ExDispatch,,Local,SOLR,0,,
07/03,12 ExDispatch,,System,SOLR,0,,1
07/03,13 Economic,,Local,SOLR,2,,4
07/03,13 Economic,,System,SOLR,0,,
07/03,14 Economic,,Local,SOLR,1,,2
07/03,14 ExDispatch,,Local,SOLR,0,,
07/03,15 Economic,,Local,SOLR,2,,2
07/03,15 ExDispatch,,Local,SOLR,0,,3
07/03,15 ExDispatch,,System,SOLR,0,,
07/03,16 Economic,,Local,SOLR,1,,2
07/03,18 Economic,,Local,SOLR,1,,8
