TYPE,YTD CURTAILED MWH
LocalEconomic,"88,804"
LocalExDispatch,"1,320"
LocalSelfSchCut,"3,686"
SystemEconomic,"208,559"
SystemExDispatch,438
SystemSelfSchCut,828
TOTAL,"303,635"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
06/26,8 Economic,,Local,SOLR,0,5
06/26,8 ExDispatch,,Local,SOLR,0,
06/26,9 ExDispatch,,Local,SOLR,0,0
06/26,9 ExDispatch,,System,SOLR,0,
06/26,10 ExDispatch,,Local,SOLR,0,1
06/26,10 ExDispatch,,System,SOLR,0,
06/26,11 ExDispatch,,Local,SOLR,0,3
06/26,11 ExDispatch,,System,SOLR,1,
06/26,12 Economic,,Local,SOLR,0,1
06/26,12 ExDispatch,,Local,SOLR,1,3
06/26,12 ExDispatch,,System,SOLR,1,
06/26,13 Economic,,Local,SOLR,2,11
06/26,13 ExDispatch,,Local,SOLR,1,1
06/26,14 Economic,,Local,SOLR,21,80
06/26,14 Economic,,System,WIND,3,
06/26,14 ExDispatch,,Local,SOLR,0,1
06/26,14 SelfSchCut,,Local,WIND,0,
06/26,15 Economic,,Local,SOLR,90,297
06/26,15 ExDispatch,,Local,SOLR,0,0
06/26,16 Economic,,Local,SOLR,26,70
06/26,17 Economic,,Local,SOLR,46,70
06/26,18 Economic,,Local,SOLR,55,215
06/26,19 Economic,,Local,SOLR,3,17
06/26,19 Economic,,System,SOLR,0,
06/26,21 Economic,,Local,WIND,1,9
06/26,22 Economic,,Local,WIND,18,70
