DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/11,1,Economic,System,WIND,13,89
01/11,2,Economic,System,WIND,210,478
01/11,3,Economic,Local,WIND,11,23
01/11,3,Economic,System,WIND,106,326
01/11,4,Economic,Local,WIND,9,17
01/11,5,Economic,Local,WIND,1,11
01/11,6,Economic,Local,WIND,1,12
01/11,9,Economic,System,SOLR,73,476
01/11,9,Economic,System,WIND,42,160
01/11,10,Economic,System,SOLR,339,715
01/11,10,Economic,System,WIND,117,346
01/11,11,Economic,Local,SOLR,5,3
01/11,11,Economic,System,SOLR,299,670
01/11,11,Economic,System,WIND,136,138
01/11,12,Economic,Local,SOLR,12,16
01/11,12,Economic,System,SOLR,427,742
01/11,12,Economic,System,WIND,132,131
01/11,12,SelfSchCut,Local,SOLR,1,
01/11,13,Economic,Local,SOLR,15,17
01/11,13,Economic,System,SOLR,52,241
01/11,13,Economic,System,WIND,65,165
01/11,14,Economic,Local,SOLR,7,
01/11,14,Economic,System,SOLR,3,8
01/11,14,Economic,System,WIND,4,45
01/11,15,Economic,System,SOLR,10,75
01/11,15,Economic,System,WIND,20,122
01/11,16,Economic,Local,SOLR,0,
