DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/29,2,Economic,Local,WIND,41,50
11/29,2,Economic,Local,WIND,41,50
11/29,2,Economic,Local,WIND,41,50
11/29,2,Economic,Local,WIND,41,50
11/29,2,Economic,Local,WIND,41,50
11/29,3,Economic,Local,WIND,94,176
11/29,4,Economic,Local,WIND,147,169
11/29,5,Economic,Local,WIND,94,108
11/29,6,Economic,Local,WIND,105,151
11/29,7,Economic,Local,WIND,48,122
11/29,8,Economic,Local,SOLR,2,14
11/29,9,Economic,Local,SOLR,259,436
11/29,9,Economic,Local,WIND,43,16
11/29,10,Economic,Local,SOLR,415,517
11/29,10,Economic,Local,WIND,3,7
11/29,10,Economic,System,SOLR,0,
11/29,10,Economic,System,WIND,2,26
11/29,11,Economic,Local,SOLR,403,424
11/29,11,Economic,Local,WIND,61,74
11/29,12,Economic,Local,SOLR,471,550
11/29,12,Economic,Local,WIND,109,130
11/29,12,Economic,System,SOLR,0,1
11/29,13,Economic,Local,SOLR,516,600
11/29,13,Economic,Local,WIND,92,117
11/29,14,Economic,Local,SOLR,465,600
11/29,14,Economic,Local,WIND,59,79
11/29,14,Economic,System,SOLR,0,
11/29,14,Economic,System,WIND,0,
11/29,15,Economic,Local,SOLR,240,568
11/29,15,Economic,Local,WIND,20,42
11/29,15,Economic,System,SOLR,0,
11/29,15,Economic,System,WIND,1,4
11/29,16,Economic,Local,SOLR,87,299
11/29,16,Economic,Local,WIND,14,47
11/29,17,Economic,Local,SOLR,2,26
11/29,17,Economic,Local,WIND,6,36
