DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/09,1 Economic,,Local,WIND,19,14
01/09,1 Economic,,System,WIND,188,378
01/09,2 Economic,,Local,WIND,4,
01/09,2 Economic,,System,WIND,64,303
01/09,5 Economic,,System,WIND,12,76
01/09,12 Economic,,System,SOLR,0,2
01/09,13 Economic,,Local,WIND,7,
01/09,13 Economic,,System,SOLR,13,63
01/09,13 Economic,,System,WIND,16,126
01/09,14 Economic,,System,SOLR,11,67
01/09,14 Economic,,System,WIND,20,137
01/09,15 Economic,,Local,WIND,2,26
01/09,15 Economic,,System,SOLR,0,
01/09,16 Economic,,System,SOLR,1,2
01/09,23 Economic,,System,WIND,45,271
01/09,24 Economic,,Local,WIND,29,150
01/09,24 Economic,,System,WIND,7,
