DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/10,1,Economic,Local,WIND,4,27
01/10,9,Economic,System,SOLR,0,5
01/10,9,Economic,System,WIND,7,80
01/10,10,Economic,Local,WIND,1,
01/10,10,Economic,System,SOLR,0,0
01/10,10,Economic,System,WIND,5,55
01/10,10,SelfSchCut,Local,SOLR,1,
01/10,11,Economic,Local,WIND,25,2
01/10,11,Economic,System,SOLR,2,13
01/10,11,Economic,System,WIND,9,69
01/10,12,Economic,Local,WIND,5,11
01/10,12,Economic,System,SOLR,228,734
01/10,12,Economic,System,WIND,133,192
01/10,13,Economic,Local,SOLR,1,
01/10,13,Economic,Local,WIND,32,16
01/10,13,Economic,System,SOLR,167,407
01/10,13,Economic,System,WIND,130,168
01/10,14,Economic,Local,SOLR,4,
01/10,14,Economic,Local,WIND,36,46
01/10,14,Economic,System,SOLR,0,0
01/10,14,Economic,System,WIND,5,60
01/10,15,Economic,Local,WIND,21,52
01/10,15,Economic,System,SOLR,42,280
01/10,15,Economic,System,WIND,58,173
01/10,16,Economic,Local,WIND,3,12
01/10,16,Economic,System,SOLR,0,
01/10,19,Economic,Local,WIND,12,55
01/10,22,Economic,Local,WIND,0,4
01/10,24,Economic,Local,WIND,2,9
