DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/19,9 Economic,,Local,WIND,0,1
01/19,10 Economic,,Local,SOLR,0,3
01/19,10 SelfSchCut,,Local,SOLR,0,0
01/19,11 Economic,,Local,SOLR,2,10
01/19,12 Economic,,Local,WIND,0,
01/19,12 Economic,,System,SOLR,1,4
01/19,12 Economic,,System,WIND,2,26
01/19,12 SelfSchCut,,Local,SOLR,0,0
01/19,13 Economic,,System,SOLR,23,250
01/19,13 Economic,,System,WIND,13,82
01/19,13 SelfSchCut,,Local,SOLR,0,1
01/19,14 Economic,,System,SOLR,0,0
01/19,14 SelfSchCut,,Local,SOLR,0,1
01/19,15 Economic,,System,SOLR,0,2
01/19,15 SelfSchCut,,Local,SOLR,1,0
01/19,16 Economic,,System,SOLR,0,2
01/19,16 SelfSchCut,,Local,SOLR,1,1
01/19,17 Economic,,System,SOLR,0,2
01/19,19 Economic,,Local,WIND,5,20
01/19,20 Economic,,Local,WIND,3,21
01/19,23 Economic,,Local,WIND,33,71
01/19,24 Economic,,Local,WIND,11,106
