DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/01,1,Economic,Local,WIND,21,70
11/01,3,Economic,Local,WIND,18,106
11/01,3,Economic,System,WIND,39,125
11/01,4,Economic,Local,WIND,24,50
11/01,4,Economic,System,WIND,45,199
11/01,8,Economic,Local,WIND,3,20
11/01,9,Economic,Local,SOLR,19,111
11/01,9,Economic,Local,WIND,3,
11/01,10,Economic,Local,SOLR,97,149
11/01,11,Economic,Local,SOLR,266,530
11/01,11,Economic,Local,WIND,12,124
11/01,11,Economic,System,WIND,22,41
11/01,12,Economic,Local,SOLR,226,
11/01,12,Economic,Local,WIND,7,
11/01,12,Economic,System,SOLR,200,770
11/01,12,Economic,System,WIND,71,96
11/01,13,Economic,Local,SOLR,295,
11/01,13,Economic,Local,WIND,17,
11/01,13,Economic,System,SOLR,122,509
11/01,13,Economic,System,WIND,42,96
11/01,14,Economic,Local,SOLR,596,864
11/01,14,Economic,Local,WIND,49,67
11/01,14,Economic,System,SOLR,1,
11/01,14,Economic,System,WIND,10,29
11/01,15,Economic,Local,SOLR,530,833
11/01,15,Economic,Local,WIND,47,37
11/01,16,Economic,Local,SOLR,216,527
11/01,16,Economic,Local,WIND,63,89
11/01,16,Economic,System,WIND,3,17
11/01,20,Economic,Local,WIND,3,37
