DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/06,9 Economic,,Local,SOLR,21,108
12/06,10 Economic,,Local,SOLR,61,87
12/06,11 Economic,,Local,SOLR,48,98
12/06,12 Economic,,Local,SOLR,44,114
12/06,12 Economic,,System,SOLR,0,
12/06,13 Economic,,Local,SOLR,117,124
12/06,13 Economic,,Local,WIND,28,40
12/06,13 Economic,,System,SOLR,3,3
12/06,13 Economic,,System,WIND,40,124
12/06,14 Economic,,Local,SOLR,101,143
12/06,15 Economic,,Local,SOLR,29,86
12/06,15 Economic,,System,SOLR,0,
12/06,16 Economic,,System,SOLR,0,2
12/06,17 Economic,,System,SOLR,0,1
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/07,3,Economic,System,WIND,1,9
12/07,4,Economic,System,WIND,52,164
12/07,8,Economic,Local,SOLR,3,32
12/07,10,Economic,System,SOLR,0,2
12/07,11,Economic,Local,SOLR,21,62
12/07,12,Economic,Local,SOLR,72,160
12/07,13,Economic,Local,SOLR,57,176
12/07,14,Economic,Local,SOLR,1,
12/07,14,Economic,Local,WIND,0,5
12/07,14,Economic,System,SOLR,0,
12/07,15,Economic,System,SOLR,0,2
12/07,16,Economic,System,SOLR,0,2
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/08,9,Economic,Local,SOLR,10,37
12/08,9,Economic,System,SOLR,0,
12/08,10,Economic,Local,SOLR,92,129
12/08,10,Economic,System,SOLR,1,2
12/08,11,Economic,Local,SOLR,109,123
12/08,11,Economic,System,SOLR,1,
12/08,12,Economic,Local,SOLR,63,120
12/08,13,Economic,Local,SOLR,11,61
12/08,13,Economic,System,SOLR,0,1
12/08,16,Economic,System,SOLR,1,2
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/09,12,Economic,System,SOLR,0,1
12/09,14,Economic,System,SOLR,0,1
12/09,15,Economic,System,SOLR,1,2
DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/10,4 Economic,,Local,WIND,2,13
12/10,5 Economic,,Local,WIND,54,68
12/10,6 Economic,,Local,WIND,22,66
12/10,7 Economic,,Local,WIND,29,71
12/10,8 Economic,,Local,WIND,22,43
12/10,9 Economic,,System,SOLR,0,2
12/10,11 Economic,,System,SOLR,0,2
12/10,15 Economic,,Local,WIND,8,91
12/10,16 Economic,,System,SOLR,1,9
12/10,17 Economic,,Local,WIND,7,25
12/10,18 Economic,,Local,WIND,57,79
12/10,19 Economic,,Local,WIND,71,107
12/10,20 Economic,,Local,WIND,58,104
12/10,21 Economic,,Local,WIND,15,46
DATE,"HOUR",CURT TYPE,REASON,FUEL TYPE,"CURTAILEDMWH","CURTAILEDMW"
12/11,9,Economic,System,WIND,4,47
12/11,10,Economic,System,SOLR,10,110
12/11,10,Economic,System,WIND,25,129
12/11,11,Economic,Local,SOLR,21,147
12/11,11,Economic,Local,WIND,22,124
12/11,11,Economic,System,SOLR,1,
12/11,11,Economic,System,WIND,51,
12/11,12,Economic,Local,SOLR,554,801
12/11,12,Economic,Local,WIND,118,127
12/11,13,Economic,Local,SOLR,311,597
12/11,13,Economic,Local,WIND,83,112
12/11,14,Economic,Local,SOLR,308,582
12/11,14,Economic,Local,WIND,98,103
12/11,15,Economic,Local,SOLR,241,538
12/11,15,Economic,Local,WIND,104,135
12/11,15,Economic,System,WIND,1,
12/11,16,Economic,Local,WIND,8,92
12/11,16,Economic,System,SOLR,0,
12/11,16,Economic,System,WIND,8,
12/11,17,Economic,Local,WIND,15,65
DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/12,3,Economic,System,WIND,1,8
12/12,12,Economic,Local,SOLR,5,
12/12,12,Economic,Local,WIND,36,144
12/12,13,Economic,Local,SOLR,9,49
12/12,13,Economic,Local,WIND,151,219
12/12,13,Economic,System,SOLR,0,
12/12,13,Economic,System,WIND,2,
