DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/08,1,Economic,Local,WIND,200,200
01/08,2,Economic,Local,WIND,200,205
01/08,3,Economic,Local,WIND,179,208
01/08,4,Economic,Local,WIND,12,69
01/08,10,Economic,System,SOLR,9,83
01/08,10,Economic,System,WIND,2,13
01/08,11,Economic,Local,SOLR,0,
01/08,11,Economic,Local,WIND,7,
01/08,11,Economic,System,SOLR,69,473
01/08,11,Economic,System,WIND,1,11
01/08,12,Economic,Local,SOLR,0,
01/08,12,Economic,Local,WIND,25,58
01/08,12,Economic,System,SOLR,2,15
01/08,12,Economic,System,WIND,1,10
01/08,13,Economic,Local,SOLR,124,708
01/08,13,Economic,Local,WIND,1,3
01/08,13,Economic,System,SOLR,0,
01/08,14,Economic,Local,SOLR,186,416
01/08,14,Economic,Local,WIND,2,2
01/08,14,SelfSchCut,Local,SOLR,1,
01/08,15,Economic,System,SOLR,1,2
01/08,16,Economic,System,SOLR,0,2
01/08,20,Economic,Local,WIND,1,17
01/08,21,Economic,Local,WIND,12,39
01/08,22,Economic,Local,WIND,6,69
01/08,23,Economic,Local,WIND,211,346
01/08,24,Economic,Local,WIND,96,158
