DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/24,10 Economic,,Local,SOLR,9,14
01/24,10 Economic,,System,SOLR,3,22
01/24,10 Economic,,System,WIND,2,20
01/24,11 Economic,,Local,SOLR,10,14
01/24,11 Economic,,Local,WIND,11,70
01/24,11 Economic,,System,SOLR,4,1
01/24,11 Economic,,System,WIND,3,
01/24,12 Economic,,Local,SOLR,135,309
01/24,12 Economic,,Local,WIND,36,39
01/24,12 Economic,,System,SOLR,21,1
01/24,12 Economic,,System,WIND,0,
01/24,13 Economic,,Local,SOLR,177,392
01/24,13 Economic,,Local,WIND,22,108
01/24,13 Economic,,System,SOLR,0,
01/24,14 Economic,,Local,SOLR,0,
01/24,14 Economic,,System,SOLR,0,2
01/24,15 Economic,,System,SOLR,0,0
