DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/23,5,Economic,Local,WIND,36,69
11/23,6,Economic,Local,WIND,39,101
11/23,7,Economic,Local,WIND,19,44
11/23,9,Economic,Local,SOLR,6,69
11/23,9,Economic,Local,WIND,32,101
11/23,10,Economic,Local,SOLR,176,534
11/23,10,Economic,Local,WIND,37,80
11/23,10,Economic,System,SOLR,0,
11/23,11,Economic,Local,SOLR,415,566
11/23,11,Economic,Local,WIND,140,178
11/23,12,Economic,Local,SOLR,189,353
11/23,12,Economic,Local,WIND,60,111
11/23,12,Economic,System,WIND,0,1
11/23,13,Economic,Local,SOLR,319,715
11/23,13,Economic,Local,WIND,115,58
11/23,13,Economic,System,SOLR,0,
11/23,13,Economic,System,WIND,10,
11/23,14,Economic,Local,SOLR,793,999
11/23,14,Economic,Local,WIND,71,161
11/23,14,Economic,System,SOLR,0,
11/23,14,Economic,System,WIND,4,50
11/23,15,Economic,Local,SOLR,95,432
11/23,15,Economic,Local,WIND,28,111
11/23,15,Economic,System,SOLR,0,
11/23,15,Economic,System,WIND,2,
11/23,16,Economic,Local,WIND,7,81
11/23,16,Economic,System,SOLR,0,
11/23,23,Economic,Local,WIND,97,136
11/23,24,Economic,Local,WIND,44,73
