DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/14,1 Economic,,Local,WIND,8,12
11/14,2 Economic,,Local,WIND,5,7
11/14,5 Economic,,Local,WIND,50,80
11/14,6 Economic,,Local,WIND,71,122
11/14,7 Economic,,Local,WIND,84,118
11/14,8 Economic,,Local,WIND,35,41
11/14,8 Economic,,System,WIND,11,34
11/14,9 Economic,,System,SOLR,83,426
11/14,9 Economic,,System,WIND,41,46
11/14,10 Economic,,Local,WIND,65,114
11/14,10 Economic,,System,SOLR,0,
11/14,10 Economic,,System,WIND,8,0
11/14,11 Economic,,Local,WIND,101,135
11/14,11 Economic,,System,SOLR,1,0
11/14,12 Economic,,Local,WIND,65,97
11/14,12 Economic,,System,SOLR,0,
11/14,13 Economic,,Local,WIND,36,67
11/14,13 Economic,,System,SOLR,0,
11/14,14 Economic,,Local,SOLR,35,169
11/14,14 Economic,,Local,WIND,62,61
11/14,14 Economic,,System,SOLR,0,1
11/14,15 Economic,,Local,SOLR,13,32
11/14,15 Economic,,Local,WIND,57,64
11/14,15 Economic,,System,SOLR,1,0
11/14,16 Economic,,Local,WIND,77,145
11/14,16 Economic,,System,SOLR,0,
11/14,17 Economic,,Local,WIND,1,9
