04/25/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1056		291		178		280		901		0
	2		1057		282		177		273		815		0
	3		1057		282		177		272		745		0
	4		1056		285		177		271		588		0
	5		1056		286		177		271		484		0
	6		1058		292		177		280		433		0
	7		1060		295		178		278		358		0
	8		1060		297		177		293		265		6
	9		1059		294		179		300		143		225
	10		1057		292		179		307		34		318
	11		1056		294		179		307		22		339
	12		1054		294		180		307		7		343
	13		1052		296		180		308		8		341
	14		1050		296		180		305		-2		341
	15		1050		295		180		303		11		344
	16		1048		295		166		304		67		343
	17		1048		291		145		305		250		332
	18		1050		291		143		307		419		290
	19		1049		290		147		308		566		146
	20		1051		288		150		310		668		8
	21		1055		283		154		311		696		0
	22		1058		280		165		311		692		0
	23		1059		280		167		312		648		0
	24		1060		278		169		307		493		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2706		4101		6036		5348		2424		
	2		2604		4144		5754		5008		2115		
	3		2533		4175		5578		5083		2074		
	4		2377		4179		5654		4880		2167		
	5		2276		4181		5560		4815		2408		
	6		2241		4180		5504		4935		2615		
	7		2169		4178		5491		4432		2894		
	8		2098		4176		5531		4657		2974		
	9		2200		4175		6149		5134		2869		
	10		2186		4176		6421		5640		2945		
	11		2197		4176		6756		5793		3066		
	12		2185		4175		6913		5909		3366		
	13		2184		4173		6924		6125		3407		
	14		2170		4172		6944		6290		3382		
	15		2181		4174		7089		6039		3564		
	16		2222		4176		6994		6045		3703		
	17		2371		4177		7035		6141		3605		
	18		2499		4177		7026		6092		3828		
	19		2506		4178		6954		6265		3995		
	20		2475		4178		7252		6783		4044		
	21		2498		4176		7957		7318		4209		
	22		2504		4176		7648		6776		3869		
	23		2465		4179		7109		6066		3370		
	24		2307		4179		6716		5466		2763		
