04/29/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1040		285		168		301		657		0
	2		1042		277		168		307		672		0
	3		1043		277		167		309		679		0
	4		1043		283		167		308		656		0
	5		1038		285		168		309		683		0
	6		1036		286		169		312		772		0
	7		1035		286		168		321		861		0
	8		1034		286		157		320		915		19
	9		1036		293		155		318		897		245
	10		1040		292		155		317		826		334
	11		1038		294		152		306		721		334
	12		1035		294		152		307		715		353
	13		1034		297		160		307		804		347
	14		1033		300		160		307		848		318
	15		1033		303		162		312		870		346
	16		1033		291		164		311		1020		279
	17		1032		281		164		311		1245		219
	18		1031		280		166		300		1364		285
	19		1032		280		167		300		1334		181
	20		1032		280		156		301		1193		62
	21		1033		271		171		313		1137		8
	22		1033		270		171		315		1116		0
	23		1042		252		171		309		1037		0
	24		1073		242		171		306		986		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2451		4346		6181		5411		2836		
	2		2467		4349		5883		5221		2665		
	3		2476		4349		5659		5232		2594		
	4		2458		4349		5433		5316		2661		
	5		2483		4263		5366		5413		2786		
	6		2574		4207		5773		6116		2750		
	7		2671		4186		6452		6726		3145		
	8		2731		4188		7229		7391		3409		
	9		2944		4190		7854		7156		3663		
	10		2963		4191		7877		7479		3784		
	11		2845		4181		8158		7797		3734		
	12		2855		4179		8225		7786		3633		
	13		2948		4177		8287		7461		3525		
	14		2966		4168		7758		7573		3541		
	15		3026		4177		7463		7568		3454		
	16		3099		4177		7211		7496		3411		
	17		3252		4176		6922		7274		3477		
	18		3427		4177		6724		6958		3534		
	19		3295		4175		6863		6823		3537		
	20		3023		4177		7209		7257		3959		
	21		2933		4178		7796		8325		4019		
	22		2904		4179		7817		7469		3960		
	23		2811		4179		7050		6860		3300		
	24		2778		4183		6483		6085		2813		
