05/05/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1039		234		169		315		1489		0
	2		1040		232		168		313		1533		0
	3		1040		248		169		313		1537		0
	4		1040		254		169		313		1460		0
	5		1031		260		169		311		1326		0
	6		1029		262		168		308		1212		0
	7		1006		257		168		312		1116		0
	8		1005		261		165		319		1074		41
	9		1023		268		166		306		1017		200
	10		1027		268		165		298		1030		323
	11		1024		271		164		297		937		352
	12		1022		274		165		300		922		355
	13		1019		276		167		342		941		344
	14		1013		278		168		359		927		346
	15		1013		274		170		357		921		325
	16		1014		267		171		358		921		325
	17		1015		268		171		359		900		315
	18		1016		269		172		357		932		285
	19		1025		248		172		331		1011		184
	20		1030		244		172		332		1081		48
	21		1031		236		172		332		1075		0
	22		1033		238		171		332		1067		0
	23		1032		236		171		333		881		0
	24		1033		237		170		331		827		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3245		4354		6055		5499		3075		
	2		3287		4348		5879		4867		2701		
	3		3307		4357		5408		4914		2524		
	4		3237		4358		5318		4703		2742		
	5		3097		4357		5501		4820		2971		
	6		2979		4357		6112		5359		3245		
	7		2859		4356		7201		5488		3408		
	8		2864		4355		8406		5909		3460		
	9		2979		4355		8710		6099		3826		
	10		3112		4354		9376		6288		3806		
	11		3046		4355		10360		6308		3684		
	12		3038		4375		10776		6112		3798		
	13		3089		4448		10766		5768		4047		
	14		3091		4515		10425		6034		4080		
	15		3059		4521		10372		5927		4283		
	16		3056		4520		10141		5950		4358		
	17		3027		4519		10210		5771		4216		
	18		3031		4518		9997		5605		4109		
	19		2971		4515		9724		5462		4006		
	20		2908		4516		9831		5597		4177		
	21		2847		4515		10873		5966		4255		
	22		2841		4513		10175		5537		4284		
	23		2654		4515		8746		5611		3733		
	24		2599		4516		7286		5526		3390		
