04/21/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1072		285		145		253		1055		0
	2		1072		280		142		253		938		0
	3		1072		277		153		254		864		0
	4		1073		275		167		255		828		0
	5		1074		282		164		263		843		0
	6		1074		286		163		274		850		0
	7		1075		280		163		298		964		0
	8		1075		280		166		303		1130		3
	9		1073		279		164		303		1107		85
	10		1072		275		162		304		968		30
	11		1068		275		165		303		886		34
	12		1067		282		166		300		920		67
	13		1071		284		168		298		773		97
	14		1072		289		169		309		741		28
	15		1079		289		169		311		701		27
	16		1070		290		169		312		674		23
	17		1070		293		170		311		644		17
	18		1069		292		173		306		578		3
	19		1069		292		174		312		641		0
	20		1069		290		175		313		871		0
	21		1071		282		178		313		889		0
	22		1070		283		177		300		990		0
	23		1071		280		177		296		1071		0
	24		1083		277		177		270		916		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2810		3890		7165		5080		2555		
	2		2685		3890		6811		5041		2135		
	3		2621		3893		6426		5064		2109		
	4		2598		3893		6738		4807		2263		
	5		2626		3893		6585		4799		2480		
	6		2647		3894		7636		5179		2403		
	7		2781		3895		8445		5781		2735		
	8		2957		3894		9429		6030		3028		
	9		3012		3896		9968		6190		3245		
	10		2812		3897		10483		6173		3535		
	11		2731		3897		11248		6087		3302		
	12		2801		3898		10728		6385		3648		
	13		2691		3898		10288		6697		3636		
	14		2608		3896		10228		6329		3551		
	15		2575		3895		10249		6239		3350		
	16		2537		3896		9872		6313		3295		
	17		2504		3897		9684		6435		3261		
	18		2421		3897		9715		6455		3289		
	19		2489		3897		9677		6673		3345		
	20		2718		3898		10156		6933		3551		
	21		2733		3898		10898		7029		3452		
	22		2820		3898		10256		6685		3127		
	23		2895		3899		9211		5772		2841		
	24		2722		3898		8154		5062		2776		
