04/22/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1096		278		177		252		897		0
	2		1096		258		177		252		969		0
	3		1097		258		176		253		822		0
	4		1097		259		175		252		762		0
	5		1096		274		175		262		629		0
	6		1097		258		175		275		535		0
	7		1098		257		175		293		455		0
	8		1097		249		175		297		404		4
	9		1095		256		169		295		275		15
	10		1094		262		169		307		125		72
	11		1091		270		170		317		179		137
	12		1088		276		169		307		166		117
	13		1086		293		168		300		135		36
	14		1078		305		170		300		152		26
	15		1028		316		171		295		139		12
	16		1043		318		171		298		157		12
	17		1055		320		173		300		201		10
	18		1045		320		175		300		236		34
	19		1044		320		176		301		203		6
	20		1056		320		176		303		186		0
	21		1057		315		176		294		245		0
	22		1058		310		174		295		286		0
	23		1059		307		173		294		300		0
	24		1060		308		173		279		238		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2702		3902		7861		4849		2325		
	2		2752		3907		7147		5150		2024		
	3		2606		3907		7078		5233		1994		
	4		2544		3907		7014		5115		1938		
	5		2436		3908		6921		5028		2342		
	6		2340		3908		7578		5850		2407		
	7		2278		3909		8719		6264		2768		
	8		2225		3908		9589		6553		3069		
	9		2105		3907		10151		6700		3273		
	10		2029		3906		10429		7036		3176		
	11		2164		3906		10315		7360		3176		
	12		2123		3905		10399		7271		3261		
	13		2018		3905		10464		6947		3221		
	14		2032		3905		10138		6881		3244		
	15		1963		3904		10111		6780		3052		
	16		2000		3905		9943		6706		2957		
	17		2059		3903		9625		6782		2881		
	18		2110		3903		9344		6769		2825		
	19		2049		3904		9355		6320		3189		
	20		2040		3903		9354		6790		3773		
	21		2086		3902		9806		7537		4023		
	22		2124		3902		9473		7081		3833		
	23		2134		3903		8826		6206		3295		
	24		2057		3902		8302		5785		2514		
