04/23/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1060		309		170		251		157		0
	2		1060		300		169		259		122		0
	3		1061		300		168		260		245		0
	4		1061		304		168		260		300		0
	5		1062		310		169		261		279		0
	6		1062		313		169		277		326		0
	7		1061		313		176		277		422		0
	8		1061		311		179		288		331		3
	9		1062		310		179		287		420		181
	10		1061		311		176		303		428		297
	11		1059		315		172		311		349		331
	12		1056		315		174		311		281		330
	13		1053		317		172		302		370		328
	14		1051		318		172		310		544		327
	15		1049		311		171		312		704		326
	16		1047		320		173		312		834		322
	17		1046		320		173		313		949		304
	18		1044		322		176		313		1089		253
	19		1046		329		178		314		1268		160
	20		1049		330		179		314		1427		69
	21		1055		325		178		314		1482		53
	22		1060		317		177		313		1419		0
	23		1052		295		176		313		1430		0
	24		1049		293		176		314		1325		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1947		3906		7448		5996		2150		
	2		1910		3936		6662		6210		2137		
	3		2034		3938		6376		6001		1971		
	4		2093		3937		6265		5940		2009		
	5		2080		3960		6225		6143		2283		
	6		2146		3996		7042		6269		2490		
	7		2249		3996		7810		6613		2729		
	8		2173		3995		8165		7323		3051		
	9		2439		3994		8252		7606		3126		
	10		2574		3993		8350		7525		3487		
	11		2537		3990		8404		7740		3551		
	12		2468		3989		8420		7777		3667		
	13		2542		3991		8510		7475		3576		
	14		2723		3988		8108		7456		3467		
	15		2872		3990		7889		7335		3454		
	16		3008		3991		7848		7027		3335		
	17		3105		3990		8063		6613		3126		
	18		3197		3990		7646		6505		3136		
	19		3294		3990		7270		6345		3162		
	20		3367		3991		7270		6964		3265		
	21		3406		3991		7597		7284		3796		
	22		3285		3991		7372		7040		3688		
	23		3268		3990		7483		5841		3236		
	24		3157		3989		6818		5673		2656		
