04/26/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1061		285		176		288		448		0
	2		1062		276		176		278		512		0
	3		1062		277		175		268		563		0
	4		1063		280		176		267		620		0
	5		1064		276		176		265		648		0
	6		1064		273		176		268		638		0
	7		1063		267		176		275		557		0
	8		1063		271		176		277		400		10
	9		1063		275		175		292		309		231
	10		1063		279		174		293		200		341
	11		1060		280		171		293		210		354
	12		1060		275		170		294		234		357
	13		1058		277		167		294		285		355
	14		1056		281		169		296		290		355
	15		1047		283		171		292		314		355
	16		1045		284		172		297		471		353
	17		1049		284		175		298		753		338
	18		1053		283		171		298		976		294
	19		1055		281		172		300		904		147
	20		1057		272		171		302		971		57
	21		1056		277		171		303		1152		52
	22		1055		286		171		302		1109		0
	23		1055		285		171		302		1048		0
	24		1054		284		171		301		1052		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2257		4193		6075		5274		2383		
	2		2303		4234		5793		5066		2252		
	3		2345		4264		5558		4883		2178		
	4		2406		4269		5586		4850		1987		
	5		2430		4270		5523		5095		2225		
	6		2419		4269		6270		5187		2461		
	7		2338		4265		7007		5579		2951		
	8		2196		4264		8429		5899		3378		
	9		2346		4261		9119		6134		3366		
	10		2350		4261		9261		6875		3557		
	11		2368		4259		9809		6990		3826		
	12		2389		4259		9917		7071		4199		
	13		2436		4258		10199		6971		4035		
	14		2446		4260		10212		6808		4082		
	15		2463		4260		10357		6721		3924		
	16		2623		4261		10848		5937		3794		
	17		2897		4262		10711		5777		3444		
	18		3075		4262		9907		5884		3563		
	19		2859		4266		10090		5539		3575		
	20		2831		4266		10124		5941		4075		
	21		3010		4266		10720		6243		3912		
	22		2923		4264		9926		6043		3790		
	23		2860		4267		8597		5523		3449		
	24		2862		4267		7485		4820		2918		
