04/30/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1074		243		171		302		853		0
	2		1072		237		171		304		776		0
	3		1072		235		171		306		772		0
	4		1071		240		171		308		707		0
	5		1071		246		170		319		616		0
	6		1070		247		169		316		629		0
	7		1072		244		169		291		698		0
	8		1071		246		167		307		820		33
	9		1070		245		167		308		893		274
	10		1068		244		168		307		881		351
	11		1068		249		168		304		807		358
	12		1067		251		167		306		618		358
	13		1065		254		169		307		454		357
	14		1063		255		171		307		444		358
	15		1062		257		171		306		465		358
	16		1059		254		170		308		547		354
	17		1059		248		168		310		802		341
	18		1059		249		169		310		1061		306
	19		1058		248		169		313		1212		190
	20		1060		248		172		322		1187		72
	21		1061		249		172		322		1240		52
	22		1061		238		171		322		1224		0
	23		1062		221		170		323		1206		0
	24		1063		218		171		322		1181		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2642		4195		5793		6139		2545		
	2		2561		4225		5471		5883		2348		
	3		2555		4249		5451		5846		2501		
	4		2497		4262		5435		5504		2601		
	5		2423		4267		5463		5814		2690		
	6		2431		4268		5830		6261		2739		
	7		2473		4269		6336		6551		3215		
	8		2644		4268		7065		6700		3764		
	9		2957		4266		7321		6904		3721		
	10		3019		4267		6916		7729		3751		
	11		2954		4267		6722		8107		4098		
	12		2766		4267		7358		7793		4040		
	13		2606		4265		7568		7646		3986		
	14		2598		4263		7527		7661		3997		
	15		2620		4265		7427		7545		3955		
	16		2693		4262		7222		7278		3976		
	17		2928		4263		7109		6957		3779		
	18		3154		4264		6862		6549		3749		
	19		3190		4277		6570		6550		3589		
	20		3060		4277		6650		7003		3740		
	21		3097		4277		7255		7299		4370		
	22		3016		4264		6974		7190		4130		
	23		2982		4264		6410		6642		3683		
	24		2954		4265		5459		6350		3266		
