05/04/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1062		248		169		315		1584		0
	2		1060		245		167		305		1415		0
	3		1062		241		167		305		1178		0
	4		1047		243		168		305		1067		0
	5		1045		249		168		305		951		0
	6		1050		252		169		301		845		0
	7		1052		252		169		309		698		0
	8		1051		253		169		296		701		40
	9		1046		251		170		290		723		269
	10		1013		252		170		290		730		344
	11		1010		251		166		290		732		357
	12		1008		243		164		291		678		359
	13		1007		248		166		316		688		355
	14		1006		241		167		317		691		350
	15		1003		245		171		315		707		350
	16		1001		250		173		321		841		347
	17		1005		248		173		332		975		339
	18		1005		248		174		340		994		307
	19		1007		248		175		318		1012		191
	20		1009		249		174		326		1126		74
	21		1012		242		172		328		1247		40
	22		1018		239		171		328		1299		0
	23		1037		235		170		325		1395		0
	24		1039		234		169		323		1392		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3378		4352		5406		5750		3195		
	2		3193		4352		5507		5182		2897		
	3		2954		4351		5215		5222		2860		
	4		2831		4353		5379		5298		2857		
	5		2718		4355		5469		5274		2971		
	6		2616		4353		6027		5567		3159		
	7		2479		4354		7437		5381		3257		
	8		2509		4353		8528		5909		3424		
	9		2750		4351		9002		5966		3890		
	10		2800		4351		9891		6123		3854		
	11		2805		4351		10085		6799		4041		
	12		2742		4350		10141		7250		4110		
	13		2779		4351		10114		7216		4336		
	14		2773		4351		10409		7105		4358		
	15		2791		4353		10402		7199		4383		
	16		2933		4354		10280		7131		4333		
	17		3071		4354		10135		6874		4321		
	18		3070		4353		10270		6542		4046		
	19		2950		4354		9907		6485		3977		
	20		2958		4355		9991		6433		4161		
	21		3042		4351		10297		7143		4297		
	22		3054		4351		9589		6683		4135		
	23		3163		4353		7752		6284		3701		
	24		3157		4348		6257		5908		3391		
