05/01/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1063		214		171		308		1171		0
	2		1064		209		171		308		1161		0
	3		1064		207		170		304		1005		0
	4		1065		213		171		304		939		0
	5		1065		215		171		305		837		0
	6		1063		221		171		303		756		0
	7		1062		222		171		302		718		0
	8		1060		222		171		324		650		34
	9		1056		220		171		325		563		268
	10		1055		222		173		325		356		335
	11		1054		222		173		326		267		348
	12		1052		217		173		324		261		346
	13		1049		215		174		325		523		341
	14		1046		215		173		324		702		342
	15		1045		215		172		326		992		339
	16		1044		211		171		328		1296		336
	17		1045		212		171		329		1526		289
	18		1047		220		171		328		1369		272
	19		1050		224		171		330		1426		155
	20		1053		236		171		332		1558		11
	21		1055		232		172		332		1595		0
	22		1056		238		169		333		1622		0
	23		1057		234		170		332		1580		0
	24		1059		231		172		331		1629		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2929		4270		5346		5679		2633		
	2		2912		4296		4696		5677		2433		
	3		2750		4324		4441		5340		2599		
	4		2692		4345		4475		5284		2657		
	5		2594		4347		4300		5585		2734		
	6		2514		4347		4410		5860		2850		
	7		2475		4349		4667		5973		2805		
	8		2461		4349		4860		6061		2950		
	9		2603		4345		5000		6777		2968		
	10		2467		4342		5247		7196		3371		
	11		2389		4341		5417		7550		3687		
	12		2374		4342		5332		7281		3785		
	13		2626		4344		5121		7338		3616		
	14		2802		4343		5154		6947		3626		
	15		3089		4342		5061		6712		3457		
	16		3387		4351		5074		6518		3199		
	17		3572		4355		5078		6404		3129		
	18		3408		4356		5103		6442		3254		
	19		3356		4357		5029		6326		3663		
	20		3361		4357		5185		6605		3851		
	21		3387		4356		5793		7071		4231		
	22		3418		4356		5366		7080		3987		
	23		3374		4355		5593		6188		3484		
	24		3422		4354		5201		5538		3145		
