04/28/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1007		270		170		297		904		0
	2		1037		266		170		297		934		0
	3		1037		273		170		299		916		0
	4		1036		279		170		300		919		0
	5		1035		280		170		309		961		0
	6		1030		281		169		310		929		0
	7		1008		282		161		310		968		0
	8		1030		278		154		310		952		15
	9		1032		280		152		310		1001		242
	10		1030		283		154		308		1129		323
	11		1030		285		156		306		1232		333
	12		1028		287		157		297		1313		273
	13		1026		294		156		300		1205		169
	14		1030		293		159		310		1281		175
	15		1031		296		160		309		1429		179
	16		1034		288		159		310		1490		172
	17		1033		295		163		312		1449		157
	18		1036		297		165		312		1401		73
	19		1036		296		169		313		1209		42
	20		1038		296		169		314		984		59
	21		1039		290		169		314		905		19
	22		1040		290		168		306		895		0
	23		1040		282		169		293		900		0
	24		1040		281		169		294		767		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2648		4350		6602		5118		2489		
	2		2703		4346		5924		5042		2441		
	3		2695		4347		5794		5000		2302		
	4		2704		4348		5879		4750		2297		
	5		2755		4347		5845		5071		2434		
	6		2718		4349		6131		5580		2772		
	7		2728		4350		6729		5989		3224		
	8		2738		4349		7968		6150		3506		
	9		3018		4348		8259		6358		3822		
	10		3228		4349		9029		6379		3495		
	11		3342		4350		8675		7059		3672		
	12		3355		4350		8854		6881		3937		
	13		3149		4349		8990		6836		3917		
	14		3247		4348		8194		7133		3804		
	15		3403		4348		8294		6688		3741		
	16		3453		4346		7549		6999		3701		
	17		3409		4349		7350		6919		3585		
	18		3283		4350		7386		6815		3495		
	19		3065		4349		7477		6884		3420		
	20		2860		4350		7702		7283		3886		
	21		2737		4351		8526		7627		4238		
	22		2700		4351		8528		6842		4053		
	23		2684		4351		7493		6388		3498		
	24		2550		4350		6831		5579		3116		
