05/06/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1033		239		170		310		968		0
	2		1035		236		170		305		1033		0
	3		1036		234		171		305		1290		0
	4		1037		236		171		307		1423		0
	5		1038		242		171		307		1376		0
	6		1038		240		171		308		1287		0
	7		1039		243		170		306		1154		0
	8		1039		245		169		331		1080		44
	9		1037		249		168		337		1163		284
	10		1035		249		169		336		1121		357
	11		1033		249		170		330		1205		367
	12		1032		249		170		333		1242		367
	13		1032		248		170		356		1257		364
	14		1030		250		168		357		1219		364
	15		1030		253		169		356		1087		359
	16		1030		256		168		356		985		354
	17		1015		252		168		357		976		344
	18		1021		254		172		356		935		309
	19		1021		255		173		332		913		189
	20		1021		244		173		333		905		78
	21		1031		223		172		333		909		22
	22		1033		220		170		333		865		0
	23		1034		217		170		333		838		0
	24		1034		216		170		330		719		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2720		4515		6374		5393		3212		
	2		2779		4516		5932		5110		2932		
	3		3036		4516		5741		4736		2675		
	4		3175		4517		5750		4433		2670		
	5		3134		4518		5705		4553		3003		
	6		3044		4515		6046		5282		3295		
	7		2913		4514		7435		5488		3227		
	8		2908		4514		8240		6163		3426		
	9		3237		4513		8836		5797		3651		
	10		3267		4512		9372		5926		3871		
	11		3354		4514		9658		5980		4028		
	12		3393		4513		10088		5810		4116		
	13		3428		4515		9916		5725		4475		
	14		3388		4514		9931		5699		4509		
	15		3254		4516		10073		5588		4544		
	16		3148		4519		10141		5508		4437		
	17		3113		4520		9992		5354		4503		
	18		3047		4517		9975		5322		4219		
	19		2883		4516		9754		5208		4178		
	20		2753		4515		9681		5657		4248		
	21		2689		4516		10262		6230		4598		
	22		2621		4514		9995		5945		4136		
	23		2592		4514		8537		5817		3783		
	24		2470		4516		7540		5508		3368		
