05/02/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1060		232		171		312		1496		0
	2		1060		228		170		305		1393		0
	3		1062		220		170		306		1274		0
	4		1062		228		170		306		1066		0
	5		1064		241		171		304		1011		0
	6		1063		250		171		299		976		0
	7		1064		241		171		309		999		0
	8		1067		237		172		323		1002		21
	9		1071		237		172		325		1112		255
	10		1069		235		172		326		1122		327
	11		1068		236		173		326		999		344
	12		1067		241		173		324		882		342
	13		1059		246		173		324		794		347
	14		1056		243		173		325		634		341
	15		1054		245		172		323		534		346
	16		1050		246		172		324		604		338
	17		1048		246		172		325		672		327
	18		1047		245		171		325		718		288
	19		1045		245		170		326		654		152
	20		1046		245		169		328		588		10
	21		1048		245		169		328		510		0
	22		1048		245		169		327		477		0
	23		1050		241		170		327		469		0
	24		1051		238		170		315		440		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3271		4354		4601		5462		3197		
	2		3155		4355		4489		5308		3059		
	3		3031		4354		4176		5289		2839		
	4		2832		4355		4136		5148		2824		
	5		2790		4352		4159		5386		2737		
	6		2760		4354		4138		5005		2874		
	7		2783		4352		4373		4734		2823		
	8		2823		4353		4589		4973		2972		
	9		3171		4353		4835		5202		3125		
	10		3251		4353		4963		5751		3079		
	11		3146		4354		4956		6271		3065		
	12		3030		4354		4698		6370		3497		
	13		2942		4353		5063		5990		3695		
	14		2771		4353		4986		6240		3784		
	15		2674		4352		5025		6197		3936		
	16		2734		4352		5082		6070		3976		
	17		2791		4351		5103		6272		3880		
	18		2795		4333		4873		6720		4022		
	19		2591		4333		5347		6537		4328		
	20		2385		4334		5452		7325		4502		
	21		2300		4334		6394		8050		4602		
	22		2266		4331		6439		7354		4524		
	23		2256		4333		5893		6623		3950		
	24		2214		4332		5663		6013		3125		
