04/27/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1052		287		171		288		1153		0
	2		1052		279		170		272		982		0
	3		1050		280		171		271		912		0
	4		1043		290		170		268		934		0
	5		1013		291		171		271		872		0
	6		1016		286		170		281		843		0
	7		1015		285		171		288		785		0
	8		1015		292		170		290		804		2
	9		1014		291		167		287		807		132
	10		1013		290		163		285		1075		199
	11		1013		290		163		291		1241		256
	12		999		293		165		292		1443		235
	13		985		296		166		291		1600		161
	14		989		295		169		291		1642		193
	15		993		295		169		297		1670		264
	16		994		299		168		295		1683		263
	17		996		296		168		303		1746		242
	18		999		297		170		297		1699		102
	19		1000		289		171		294		1648		0
	20		1001		294		171		297		1469		0
	21		1003		287		171		297		1100		0
	22		1004		288		171		298		1136		0
	23		1005		283		171		298		1058		0
	24		1005		280		171		298		946		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2951		4280		6598		4658		2606		
	2		2755		4314		6115		4442		2606		
	3		2685		4340		5999		4373		2346		
	4		2706		4354		5893		4271		2333		
	5		2618		4359		5907		4511		2595		
	6		2596		4359		6729		4871		2831		
	7		2543		4357		7542		5573		2984		
	8		2573		4357		8312		6330		3459		
	9		2697		4355		9062		6338		3688		
	10		3024		4355		9712		6323		3508		
	11		3255		4354		9601		6581		3782		
	12		3427		4352		9531		6780		3760		
	13		3499		4351		9215		6848		3763		
	14		3579		4351		9165		6344		3929		
	15		3687		4351		9249		6100		3733		
	16		3701		4349		8582		6331		3767		
	17		3751		4349		8348		6177		3679		
	18		3563		4349		8154		6204		3617		
	19		3402		4348		8266		5986		3585		
	20		3232		4348		8491		6691		3750		
	21		2859		4350		9483		7037		3937		
	22		2895		4350		9437		6296		3624		
	23		2814		4351		8623		5421		3380		
	24		2700		4353		7349		5041		2988		
