04/20/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1056		323		170		250		632		0
	2		1055		318		169		245		632		0
	3		1058		316		168		240		677		0
	4		1063		318		168		238		923		0
	5		1066		318		168		247		875		0
	6		1066		317		169		247		998		0
	7		1066		312		166		244		763		0
	8		1067		313		167		269		544		1
	9		1065		315		169		280		572		191
	10		1063		316		167		294		721		299
	11		1063		314		169		294		658		278
	12		1066		317		171		271		772		198
	13		1068		324		171		270		1012		126
	14		1066		322		169		282		1350		139
	15		1067		326		170		292		1489		111
	16		1070		324		160		294		1475		39
	17		1071		320		147		295		1518		25
	18		1070		320		148		297		1511		3
	19		1070		314		153		302		1356		0
	20		1072		299		151		305		1083		0
	21		1072		300		124		307		1126		0
	22		1071		277		123		297		1024		0
	23		1071		284		126		266		1017		0
	24		1072		284		140		245		1018		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2431		3854		7707		4964		2514		
	2		2419		3859		7357		4651		2012		
	3		2460		3870		6765		4667		1914		
	4		2710		3887		6544		4823		1902		
	5		2674		3894		6623		4835		2213		
	6		2798		3894		7183		5036		2344		
	7		2552		3891		8440		5136		2924		
	8		2361		3890		9814		5385		3176		
	9		2592		3887		10749		5395		3116		
	10		2861		3887		10451		6094		3158		
	11		2775		3886		10455		6641		3222		
	12		2794		3886		10632		6578		3191		
	13		2970		3886		10558		6404		3177		
	14		3330		3886		10446		6025		3089		
	15		3455		3885		10285		5859		2922		
	16		3362		3884		10052		5673		3030		
	17		3376		3884		9941		5594		2944		
	18		3349		3886		9698		5437		3227		
	19		3195		3886		9613		5607		3455		
	20		2910		3886		10169		6269		3627		
	21		2929		3886		10588		6721		3598		
	22		2793		3885		10420		5977		3290		
	23		2765		3886		8715		6044		2936		
	24		2759		3887		7722		5265		2771		
