05/03/10			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		1051		232		169		311		330		0
	2		1052		227		170		301		234		0
	3		1053		226		170		300		183		0
	4		1055		230		170		300		123		0
	5		1055		226		170		297		112		0
	6		1055		222		170		294		92		0
	7		1053		224		169		305		90		0
	8		1052		226		169		312		129		31
	9		1049		234		169		314		104		268
	10		1046		239		170		313		115		340
	11		1044		240		168		314		122		353
	12		1042		239		170		314		108		351
	13		1039		247		169		336		139		348
	14		1038		245		170		341		340		345
	15		1038		253		172		339		655		342
	16		1038		254		172		340		820		335
	17		1039		252		171		341		1117		319
	18		1038		257		171		340		1191		282
	19		1037		261		171		315		1178		166
	20		1041		264		172		316		1328		72
	21		1046		256		172		317		1369		39
	22		1048		254		170		317		1480		0
	23		1051		248		170		317		1622		0
	24		1057		247		170		316		1585		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2093		4334		5267		5791		3008		
	2		1983		4336		4669		6069		2657		
	3		1933		4336		4354		5931		2762		
	4		1878		4335		4393		5887		2771		
	5		1859		4334		4630		5863		2974		
	6		1832		4349		5375		6209		2881		
	7		1841		4354		6665		6414		2757		
	8		1917		4353		7558		6788		3580		
	9		2138		4352		8104		6928		3832		
	10		2223		4350		9070		6838		3969		
	11		2241		4349		9947		6966		4023		
	12		2224		4347		10309		7182		4147		
	13		2279		4347		10515		7308		4072		
	14		2479		4347		10408		7489		4159		
	15		2798		4348		10342		7251		4332		
	16		2958		4350		10204		7104		4275		
	17		3239		4351		10028		6974		3989		
	18		3279		4348		9740		6730		3968		
	19		3127		4349		9058		6991		3942		
	20		3192		4350		9269		6865		4002		
	21		3198		4349		10120		7034		4238		
	22		3268		4349		9165		6948		3968		
	23		3407		4353		7748		6192		3418		
	24		3375		4351		5832		6041		3357		
