DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/15,5 Economic,,System,WIND,6,8
03/15,9 Economic,,Local,SOLR,11,54
03/15,10 Economic,,Local,WIND,1,1
03/15,10 Economic,,System,SOLR,5,18
03/15,11 Economic,,Local,SOLR,4,22
03/15,11 Economic,,Local,WIND,0,
03/15,11 Economic,,System,SOLR,1,
03/15,12 Economic,,Local,SOLR,1,
03/15,12 Economic,,Local,WIND,1,3
03/15,12 Economic,,System,SOLR,1,15
03/15,13 Economic,,Local,SOLR,168,347
03/15,13 Economic,,Local,WIND,6,6
03/15,13 Economic,,System,SOLR,7,26
03/15,14 Economic,,Local,SOLR,37,274
03/15,14 Economic,,Local,WIND,5,9
03/15,14 Economic,,System,SOLR,10,
03/15,14 Economic,,System,WIND,4,
03/15,15 Economic,,Local,SOLR,11,38
03/15,15 Economic,,Local,WIND,6,7
03/15,15 Economic,,System,SOLR,4,26
03/15,16 Economic,,Local,SOLR,28,68
03/15,16 Economic,,Local,WIND,7,13
03/15,16 Economic,,System,SOLR,5,16
03/15,16 Economic,,System,WIND,1,
03/15,17 Economic,,Local,SOLR,3,25
03/15,17 Economic,,Local,WIND,4,
03/15,18 Economic,,Local,SOLR,3,
03/15,18 Economic,,System,SOLR,1,13
03/15,24 Economic,,System,WIND,50,125
