TYPE,YTD CURTAILED MWH
LocalEconomic,"66,799"
LocalExDispatch,272
LocalSelfSchCut,"2,993"
SystemEconomic,"164,878"
SystemExDispatch,74
SystemSelfSchCut,550
TOTAL,"235,567"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
04/26,5 Economic,,System,WIND,10,36
04/26,6 Economic,,System,WIND,8,53
04/26,8 Economic,,Local,SOLR,0,3
04/26,9 Economic,,Local,SOLR,7,13
04/26,10 Economic,,Local,SOLR,11,50
04/26,10 SelfSchCut,,Local,SOLR,1,
04/26,11 Economic,,Local,SOLR,47,152
04/26,11 Economic,,System,SOLR,14,
04/26,11 SelfSchCut,,Local,SOLR,1,
04/26,12 Economic,,Local,SOLR,25,35
04/26,13 Economic,,Local,SOLR,157,251
04/26,13 Economic,,System,SOLR,4,
04/26,13 SelfSchCut,,Local,SOLR,36,114
04/26,13 SelfSchCut,,Local,WIND,65,169
04/26,14 Economic,,Local,SOLR,111,178
04/26,14 Economic,,System,SOLR,3,34
04/26,14 SelfSchCut,,Local,SOLR,6,40
04/26,14 SelfSchCut,,Local,WIND,12,28
04/26,15 Economic,,Local,SOLR,4,4
04/26,15 Economic,,System,SOLR,1,7
04/26,16 Economic,,Local,SOLR,10,51
04/26,17 Economic,,Local,SOLR,11,54
04/26,18 Economic,,Local,SOLR,3,10
04/26,19 Economic,,System,SOLR,0,0
