TYPE,YTD CURTAILED MWH
LocalEconomic,"69,577"
LocalExDispatch,609
LocalSelfSchCut,"3,143"
SystemEconomic,"174,444"
SystemExDispatch,163
SystemSelfSchCut,612
TOTAL,"248,549"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
05/03,9 Economic,,Local,SOLR,0,1
05/03,10 Economic,,Local,SOLR,4,8
05/03,10 SelfSchCut,,Local,SOLR,0,2
05/03,11 Economic,,Local,SOLR,2,5
05/03,11 ExDispatch,,Local,SOLR,4,8
05/03,11 ExDispatch,,System,SOLR,1,
05/03,12 Economic,,Local,SOLR,12,21
05/03,12 ExDispatch,,Local,SOLR,4,9
05/03,12 ExDispatch,,System,SOLR,6,
05/03,12 SelfSchCut,,Local,SOLR,0,
05/03,13 Economic,,Local,SOLR,2,3
05/03,13 ExDispatch,,Local,SOLR,11,12
05/03,13 SelfSchCut,,Local,SOLR,0,
05/03,14 Economic,,Local,SOLR,3,8
05/03,14 ExDispatch,,Local,SOLR,11,12
05/03,14 ExDispatch,,System,SOLR,1,
05/03,14 SelfSchCut,,Local,SOLR,0,
05/03,15 Economic,,Local,SOLR,59,186
05/03,15 ExDispatch,,Local,SOLR,9,10
05/03,15 SelfSchCut,,Local,SOLR,0,
05/03,16 Economic,,Local,SOLR,50,150
05/03,16 ExDispatch,,Local,SOLR,5,4
05/03,17 Economic,,Local,SOLR,76,293
05/03,17 ExDispatch,,Local,SOLR,0,
05/03,18 Economic,,Local,SOLR,8,22
05/03,19 Economic,,Local,SOLR,1,7
05/03,19 SelfSchCut,,Local,SOLR,0,
