DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/16,1 Economic,,Local,WIND,4,
03/16,1 Economic,,System,WIND,24,63
03/16,2 Economic,,Local,WIND,6,
03/16,2 Economic,,System,WIND,40,123
03/16,3 Economic,,System,WIND,26,70
03/16,4 Economic,,System,WIND,26,64
03/16,5 Economic,,System,WIND,3,35
03/16,9 Economic,,Local,SOLR,1,
03/16,9 Economic,,Local,WIND,19,
03/16,9 Economic,,System,SOLR,179,687
03/16,9 Economic,,System,WIND,58,77
03/16,10 Economic,,Local,WIND,3,
03/16,10 Economic,,System,SOLR,41,204
03/16,10 Economic,,System,WIND,20,20
03/16,11 Economic,,Local,SOLR,11,59
03/16,11 Economic,,Local,WIND,16,15
03/16,11 Economic,,System,SOLR,87,253
03/16,11 Economic,,System,WIND,1,9
03/16,12 Economic,,Local,SOLR,6,
03/16,12 Economic,,Local,WIND,15,
03/16,12 Economic,,System,SOLR,49,263
03/16,12 Economic,,System,WIND,8,19
03/16,13 Economic,,Local,SOLR,7,
03/16,13 Economic,,System,SOLR,8,26
03/16,14 Economic,,Local,SOLR,1,15
03/16,16 Economic,,Local,SOLR,2,
03/16,16 Economic,,System,SOLR,7,15
03/16,16 Economic,,System,WIND,6,16
03/16,17 Economic,,Local,SOLR,120,156
03/16,17 Economic,,Local,WIND,21,23
03/16,17 Economic,,System,SOLR,170,436
03/16,17 Economic,,System,WIND,6,0
03/16,18 Economic,,System,SOLR,1,12
