DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/19,8 Economic,,Local,SOLR,0,
03/19,8 Economic,,System,SOLR,47,307
03/19,8 Economic,,System,WIND,1,6
03/19,9 Economic,,Local,SOLR,2,8
03/19,9 Economic,,System,SOLR,2,
03/19,10 Economic,,Local,SOLR,11,128
03/19,10 Economic,,Local,WIND,0,1
03/19,10 Economic,,System,SOLR,4,
03/19,11 Economic,,Local,SOLR,566,965
03/19,11 Economic,,Local,WIND,1,2
03/19,11 Economic,,System,SOLR,18,
03/19,11 Economic,,System,WIND,0,
03/19,12 Economic,,Local,SOLR,237,
03/19,12 Economic,,Local,WIND,0,
03/19,12 Economic,,System,SOLR,291,846
03/19,12 Economic,,System,WIND,0,0
03/19,13 Economic,,Local,SOLR,24,
03/19,13 Economic,,Local,WIND,0,
03/19,13 Economic,,System,SOLR,200,470
03/19,13 Economic,,System,WIND,0,1
03/19,14 Economic,,Local,SOLR,71,617
03/19,14 Economic,,Local,WIND,0,1
03/19,14 Economic,,System,SOLR,10,
03/19,15 Economic,,Local,SOLR,4,14
03/19,16 Economic,,Local,SOLR,1,
03/19,16 Economic,,System,SOLR,124,480
03/19,16 Economic,,System,WIND,5,12
03/19,17 Economic,,Local,SOLR,2,
03/19,17 Economic,,Local,WIND,3,20
03/19,17 Economic,,System,SOLR,1,10
