TYPE,YTD CURTAILED MWH
LocalEconomic,"62,831"
LocalExDispatch,50
LocalSelfSchCut,"2,769"
SystemEconomic,"149,070"
SystemExDispatch,24
SystemSelfSchCut,550
TOTAL,"215,294"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
04/17,8 Economic,,Local,SOLR,0,3
04/17,9 Economic,,Local,SOLR,0,3
04/17,10 SelfSchCut,,Local,SOLR,1,4
04/17,10 SelfSchCut,,Local,WIND,2,9
04/17,11 Economic,,Local,SOLR,0,
04/17,11 Economic,,System,SOLR,0,5
04/17,11 SelfSchCut,,Local,SOLR,2,7
04/17,11 SelfSchCut,,Local,WIND,3,9
04/17,14 Economic,,Local,SOLR,0,1
04/17,15 Economic,,System,SOLR,0,0
04/17,18 Economic,,Local,SOLR,14,162
