DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/24,8 Economic,,Local,SOLR,43,152
02/24,8 Economic,,Local,WIND,0,1
02/24,8 Economic,,System,SOLR,1,
02/24,9 Economic,,Local,SOLR,39,76
02/24,9 Economic,,Local,WIND,1,2
02/24,9 Economic,,System,SOLR,47,143
02/24,9 Economic,,System,WIND,0,5
02/24,10 Economic,,Local,SOLR,64,77
02/24,10 Economic,,Local,WIND,1,2
02/24,10 Economic,,System,SOLR,10,18
02/24,11 Economic,,Local,SOLR,68,58
02/24,11 Economic,,Local,WIND,1,2
02/24,11 Economic,,System,SOLR,15,137
02/24,12 Economic,,Local,SOLR,75,91
02/24,12 Economic,,Local,WIND,1,2
02/24,12 Economic,,System,SOLR,69,454
02/24,12 Economic,,System,WIND,1,4
02/24,13 Economic,,Local,SOLR,85,82
02/24,13 Economic,,Local,WIND,1,1
02/24,13 Economic,,System,SOLR,182,304
02/24,13 Economic,,System,WIND,1,2
02/24,14 Economic,,Local,SOLR,79,101
02/24,14 Economic,,Local,WIND,1,1
02/24,14 Economic,,System,SOLR,183,660
02/24,14 Economic,,System,WIND,1,3
02/24,15 Economic,,Local,SOLR,35,
02/24,15 Economic,,Local,WIND,1,
02/24,15 Economic,,System,SOLR,714,850
02/24,15 Economic,,System,WIND,3,4
02/24,16 Economic,System,SOLR,633,1128
02/24,16 Economic,System,WIND,3,3
02/24,17 Economic,Local,SOLR,1,
02/24,17 Economic,Local,WIND,0,
02/24,17 Economic,System,SOLR,289,975
02/24,17 Economic,System,WIND,21,87
02/24,18 Economic,System,SOLR,1,2
