DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/13,9 Economic,,Local,SOLR,1,
03/13,9 Economic,,System,SOLR,43,150
03/13,9 Economic,,System,WIND,0,1
03/13,10 Economic,,System,SOLR,14,23
03/13,10 Economic,,System,WIND,0,0
03/13,11 Economic,,Local,SOLR,3,
03/13,11 Economic,,System,SOLR,1,15
03/13,15 Economic,,Local,SOLR,1,15
03/13,15 Economic,,System,SOLR,1,
03/13,16 Economic,,Local,SOLR,6,
03/13,16 Economic,,System,SOLR,9,23
03/13,17 Economic,,Local,SOLR,5,
03/13,17 Economic,,System,SOLR,12,89
03/13,17 Economic,,System,WIND,0,0
03/13,18 Economic,,System,SOLR,1,12
