TYPE,YTD CURTAILED MWH
LocalEconomic,"70,469"
LocalExDispatch,743
LocalSelfSchCut,"3,205"
SystemEconomic,"175,882"
SystemExDispatch,199
SystemSelfSchCut,681
TOTAL,"251,178"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
05/09,8 ExDispatch,,System,SOLR,0,2
05/09,9 Economic,,Local,SOLR,1,5
05/09,9 ExDispatch,,Local,SOLR,0,
05/09,9 ExDispatch,,System,SOLR,1,
05/09,10 Economic,,Local,SOLR,2,6
05/09,10 ExDispatch,,Local,SOLR,1,2
05/09,10 ExDispatch,,System,SOLR,0,
05/09,11 Economic,,Local,SOLR,4,4
05/09,11 ExDispatch,,Local,SOLR,0,4
05/09,11 ExDispatch,,System,SOLR,2,
05/09,11 SelfSchCut,,Local,SOLR,1,3
05/09,12 Economic,,Local,SOLR,13,12
05/09,12 Economic,,System,SOLR,7,41
05/09,12 ExDispatch,,Local,SOLR,5,5
05/09,12 ExDispatch,,System,SOLR,1,
05/09,12 SelfSchCut,,Local,SOLR,1,
05/09,13 Economic,,Local,SOLR,5,6
05/09,13 ExDispatch,,Local,SOLR,7,11
05/09,13 ExDispatch,,System,SOLR,3,
05/09,13 SelfSchCut,,Local,SOLR,5,7
05/09,14 Economic,,Local,SOLR,5,8
05/09,14 ExDispatch,,Local,SOLR,10,11
05/09,14 ExDispatch,,System,SOLR,1,
05/09,14 SelfSchCut,,Local,SOLR,12,14
05/09,15 Economic,,Local,SOLR,3,3
05/09,15 ExDispatch,,Local,SOLR,2,
05/09,15 ExDispatch,,System,SOLR,5,8
05/09,15 SelfSchCut,,Local,SOLR,2,4
05/09,16 Economic,,Local,SOLR,1,3
05/09,16 ExDispatch,,Local,SOLR,2,
05/09,16 ExDispatch,,System,SOLR,2,4
05/09,16 SelfSchCut,Local,SOLR,2,6
05/09,17 ExDispatch,Local,SOLR,0,
05/09,17 ExDispatch,System,SOLR,0,1
05/09,18 ExDispatch,Local,SOLR,0,
05/09,18 ExDispatch,System,SOLR,0,1
