TYPE,YTD CURTAILED MWH
LocalEconomic,"78,301"
LocalExDispatch,979
LocalSelfSchCut,"3,427"
SystemEconomic,"189,707"
SystemExDispatch,280
SystemSelfSchCut,820
TOTAL,"273,514"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
05/19,7 Economic,,System,SOLR,0,6
05/19,8 Economic,,Local,SOLR,11,53
05/19,8 Economic,,System,SOLR,6,17
05/19,8 ExDispatch,,Local,SOLR,0,
05/19,8 ExDispatch,,System,SOLR,0,0
05/19,9 Economic,,Local,SOLR,11,20
05/19,9 Economic,,System,SOLR,10,26
05/19,9 ExDispatch,,Local,SOLR,0,
05/19,9 SelfSchCut,,Local,SOLR,0,0
05/19,9 SelfSchCut,,Local,WIND,0,
05/19,10 Economic,,Local,SOLR,1,5
05/19,10 ExDispatch,,Local,SOLR,0,1
05/19,10 ExDispatch,,System,SOLR,0,
05/19,11 Economic,,Local,SOLR,5,3
05/19,11 Economic,,System,SOLR,0,
05/19,11 ExDispatch,,Local,SOLR,1,2
05/19,11 ExDispatch,,System,SOLR,1,
05/19,11 SelfSchCut,,Local,SOLR,0,0
05/19,11 SelfSchCut,,Local,WIND,4,9
05/19,12 Economic,,Local,SOLR,11,14
05/19,12 ExDispatch,,Local,SOLR,5,5
05/19,13 Economic,,Local,SOLR,10,14
05/19,13 Economic,,System,SOLR,1,
05/19,13 ExDispatch,,Local,SOLR,5,5
05/19,14 Economic,,Local,SOLR,8,15
05/19,14 ExDispatch,,Local,SOLR,4,5
05/19,15 ExDispatch,,Local,SOLR,1,
05/19,15 ExDispatch,,System,SOLR,1,3
05/19,16 ExDispatch,,Local,SOLR,0,
05/19,16 ExDispatch,,System,SOLR,0,0
05/19,17 ExDispatch,,Local,SOLR,0,
05/19,17 ExDispatch,System,SOLR,0,0
05/19,18 Economic,System,SOLR,0,0
05/19,18 ExDispatch,Local,SOLR,0,
05/19,18 ExDispatch,System,SOLR,0,0
05/19,19 ExDispatch,System,SOLR,0,0
