TYPE,YTD CURTAILED MWH
LocalEconomic,"70,380"
LocalExDispatch,701
LocalSelfSchCut,"3,171"
SystemEconomic,"175,711"
SystemExDispatch,165
SystemSelfSchCut,612
TOTAL,"250,739"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
05/07,7 Economic,,System,SOLR,1,5
05/07,8 Economic,,Local,SOLR,1,5
05/07,8 Economic,,Local,WIND,0,1
05/07,8 Economic,,System,SOLR,27,141
05/07,8 SelfSchCut,,Local,WIND,10,16
05/07,9 Economic,,Local,SOLR,2,0
05/07,9 Economic,,Local,WIND,2,5
05/07,9 Economic,,System,SOLR,92,240
05/07,9 SelfSchCut,,Local,WIND,8,16
05/07,10 Economic,,Local,SOLR,36,0
05/07,10 Economic,,Local,WIND,2,1
05/07,10 Economic,,System,SOLR,377,683
05/07,10 ExDispatch,,System,SOLR,0,
05/07,10 SelfSchCut,,Local,WIND,7,7
05/07,11 Economic,,Local,SOLR,8,
05/07,11 Economic,,System,SOLR,30,161
05/07,11 ExDispatch,,System,SOLR,0,
05/07,11 SelfSchCut,,Local,WIND,0,0
05/07,12 Economic,,Local,SOLR,8,
05/07,12 Economic,,System,SOLR,131,391
05/07,12 ExDispatch,,Local,SOLR,0,
05/07,12 SelfSchCut,,Local,SOLR,0,
05/07,12 SelfSchCut,,Local,WIND,0,3
05/07,13 Economic,,Local,SOLR,49,317
05/07,13 Economic,,System,SOLR,29,
05/07,13 ExDispatch,,Local,SOLR,2,1
05/07,13 SelfSchCut,,Local,SOLR,0,
05/07,14 Economic,,Local,SOLR,11,9
05/07,14 Economic,,System,SOLR,85,211
05/07,14 ExDispatch,,Local,SOLR,3,2
05/07,15 Economic,,Local,SOLR,8,8
05/07,15 Economic,System,SOLR,17,44
05/07,15 ExDispatch,Local,SOLR,6,5
05/07,15 SelfSchCut,Local,SOLR,0,
05/07,16 Economic,Local,SOLR,5,6
05/07,16 Economic,System,SOLR,2,24
05/07,16 ExDispatch,Local,SOLR,1,2
05/07,17 Economic,Local,SOLR,3,
05/07,17 Economic,System,SOLR,2,23
05/07,18 Economic,Local,SOLR,5,
05/07,18 Economic,System,SOLR,168,638
05/07,18 Economic,System,WIND,1,3
05/07,20 SelfSchCut,Local,SOLR,0,0
