DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/24,8 Economic,,System,SOLR,0,3
03/24,9 Economic,,Local,SOLR,14,21
03/24,9 Economic,,System,SOLR,152,802
03/24,9 Economic,,System,WIND,12,34
03/24,9 SelfSchCut,,Local,SOLR,2,8
03/24,10 Economic,,Local,SOLR,34,21
03/24,10 Economic,,System,SOLR,19,225
03/24,10 Economic,,System,WIND,2,25
03/24,10 SelfSchCut,,Local,SOLR,5,10
03/24,11 Economic,,Local,SOLR,20,22
03/24,11 SelfSchCut,,Local,SOLR,0,1
03/24,12 Economic,,Local,SOLR,17,18
03/24,13 Economic,,Local,SOLR,14,13
03/24,13 Economic,,System,SOLR,157,596
03/24,13 Economic,,System,WIND,3,14
03/24,14 Economic,,Local,SOLR,13,14
03/24,14 Economic,,System,SOLR,470,984
03/24,14 Economic,,System,WIND,7,5
03/24,15 Economic,,Local,SOLR,13,13
03/24,15 Economic,,System,SOLR,438,696
03/24,15 Economic,,System,WIND,6,22
03/24,16 Economic,,Local,SOLR,62,15
03/24,16 Economic,,Local,WIND,1,
03/24,16 Economic,,System,SOLR,405,665
03/24,16 Economic,,System,WIND,9,1
03/24,17 Economic,,Local,SOLR,0,
03/24,17 Economic,,System,SOLR,236,547
03/24,17 Economic,,System,WIND,16,24
03/24,18 Economic,,System,SOLR,364,770
03/24,18 Economic,,System,WIND,67,194
03/24,19 Economic,,Local,SOLR,0,1
