TYPE,YTD CURTAILED MWH
LocalEconomic,"69,359"
LocalExDispatch,565
LocalSelfSchCut,"3,142"
SystemEconomic,"174,444"
SystemExDispatch,155
SystemSelfSchCut,612
TOTAL,"248,278"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
05/02,8 Economic,,Local,SOLR,2,21
05/02,8 Economic,,System,SOLR,2,
05/02,9 Economic,,Local,SOLR,8,32
05/02,9 Economic,,System,SOLR,2,
05/02,10 Economic,,Local,SOLR,13,6
05/02,10 Economic,,System,SOLR,2,23
05/02,10 SelfSchCut,,Local,SOLR,5,
05/02,11 Economic,,Local,SOLR,11,15
05/02,11 ExDispatch,,Local,SOLR,0,1
05/02,11 SelfSchCut,,Local,SOLR,4,6
05/02,12 Economic,,Local,SOLR,20,19
05/02,12 ExDispatch,,Local,SOLR,10,9
05/02,12 SelfSchCut,,Local,SOLR,1,7
05/02,13 Economic,,Local,SOLR,8,9
05/02,13 ExDispatch,,Local,SOLR,11,11
05/02,14 Economic,,Local,SOLR,6,11
05/02,14 ExDispatch,,Local,SOLR,9,12
05/02,14 ExDispatch,,System,SOLR,3,
05/02,15 Economic,,Local,SOLR,0,2
05/02,15 ExDispatch,,Local,SOLR,3,
05/02,15 ExDispatch,,System,SOLR,7,11
05/02,15 SelfSchCut,,Local,SOLR,2,5
05/02,16 ExDispatch,,Local,SOLR,2,
05/02,16 ExDispatch,,System,SOLR,3,8
05/02,16 SelfSchCut,,Local,SOLR,0,0
05/02,17 Economic,,Local,SOLR,0,0
05/02,17 SelfSchCut,,Local,SOLR,0,
05/02,18 Economic,,Local,SOLR,0,0
05/02,19 Economic,,Local,SOLR,5,56
05/02,19 Economic,,System,SOLR,0,
