TYPE,YTD CURTAILED MWH
LocalEconomic,"80,550"
LocalExDispatch,"1,113"
LocalSelfSchCut,"3,606"
SystemEconomic,"191,107"
SystemExDispatch,322
SystemSelfSchCut,820
TOTAL,"277,517"
DATE,HOU CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
"",R,,,,,
05/25,5 Economic,,Local,WIND,1,9
05/25,7 Economic,,Local,SOLR,1,7
05/25,8 Economic,,Local,SOLR,85,244
05/25,8 Economic,,System,SOLR,1,
05/25,8 ExDispatch,,Local,SOLR,0,0
05/25,9 Economic,,Local,SOLR,33,194
05/25,9 Economic,,System,SOLR,14,
05/25,9 ExDispatch,,System,SOLR,0,
05/25,9 SelfSchCut,,Local,SOLR,0,
05/25,9 SelfSchCut,,Local,WIND,0,
05/25,10 Economic,,Local,SOLR,6,
05/25,10 Economic,,System,SOLR,3,32
05/25,10 ExDispatch,,Local,SOLR,0,
05/25,10 ExDispatch,,System,SOLR,0,
05/25,10 SelfSchCut,,Local,SOLR,5,
05/25,11 Economic,,Local,SOLR,90,275
05/25,11 Economic,,Local,WIND,82,197
05/25,11 Economic,,System,SOLR,2,
05/25,11 ExDispatch,,Local,SOLR,2,
05/25,11 ExDispatch,,System,SOLR,1,3
05/25,11 SelfSchCut,,Local,SOLR,0,1
05/25,12 Economic,,Local,SOLR,7,9
05/25,12 ExDispatch,,Local,SOLR,8,8
05/25,13 Economic,,Local,SOLR,194,261
05/25,13 ExDispatch,,Local,SOLR,4,
05/25,13 ExDispatch,,System,SOLR,5,9
05/25,14 Economic,,Local,SOLR,84,150
05/25,14 ExDispatch,,Local,SOLR,6,7
05/25,14 ExDispatch,,System,SOLR,1,
05/25,15 Economic,,Local,SOLR,10,4
05/25,15 Economic,,System,SOLR,40,133
05/25,15 ExDispatch,Local,SOLR,0,
05/25,15 ExDispatch,System,SOLR,2,3
05/25,16 Economic,Local,SOLR,6,5
05/25,16 Economic,System,SOLR,31,242
05/25,17 Economic,Local,SOLR,6,36
05/25,17 Economic,System,SOLR,5,
05/25,24 Economic,Local,WIND,4,43
