DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/30,3 Economic,,System,WIND,3,35
03/30,4 Economic,,System,WIND,1,11
03/30,8 Economic,,Local,SOLR,1,
03/30,8 Economic,,System,SOLR,0,3
03/30,9 Economic,,Local,SOLR,47,
03/30,9 Economic,,Local,WIND,13,
03/30,9 Economic,,System,SOLR,176,651
03/30,9 Economic,,System,WIND,73,146
03/30,10 Economic,,System,SOLR,569,1404
03/30,10 Economic,,System,WIND,78,91
03/30,11 Economic,,Local,SOLR,72,
03/30,11 Economic,,Local,WIND,8,
03/30,11 Economic,,System,SOLR,418,949
03/30,11 Economic,,System,WIND,64,111
03/30,12 Economic,,Local,SOLR,99,
03/30,12 Economic,,Local,WIND,8,
03/30,12 Economic,,System,SOLR,391,921
03/30,12 Economic,,System,WIND,82,93
03/30,13 Economic,,Local,SOLR,70,84
03/30,13 Economic,,System,SOLR,712,1047
03/30,13 Economic,,System,WIND,94,106
03/30,14 Economic,,Local,SOLR,39,2
03/30,14 Economic,,System,SOLR,874,1182
03/30,14 Economic,,System,WIND,84,80
03/30,15 Economic,,Local,SOLR,318,
03/30,15 Economic,,Local,WIND,20,
03/30,15 Economic,,System,SOLR,198,1409
03/30,15 Economic,,System,WIND,13,78
