DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/03,9 Economic,,Local,SOLR,19,
04/03,9 Economic,,System,SOLR,27,152
04/03,9 SelfSchCut,,Local,SOLR,1,
04/03,10 Economic,,Local,SOLR,53,
04/03,10 Economic,,System,SOLR,485,1039
04/03,10 Economic,,System,WIND,3,9
04/03,11 Economic,,Local,SOLR,112,
04/03,11 Economic,,Local,WIND,1,
04/03,11 Economic,,System,SOLR,423,819
04/03,11 Economic,,System,WIND,5,6
04/03,11 SelfSchCut,,Local,SOLR,1,
04/03,12 Economic,,Local,SOLR,138,0
04/03,12 Economic,,System,SOLR,328,804
04/03,12 Economic,,System,WIND,2,9
04/03,12 SelfSchCut,,Local,SOLR,0,
04/03,13 Economic,,Local,SOLR,104,0
04/03,13 Economic,,System,SOLR,504,1079
04/03,13 Economic,,System,WIND,2,3
04/03,14 Economic,,Local,SOLR,82,5
04/03,14 Economic,,System,SOLR,134,404
04/03,15 Economic,,Local,SOLR,140,264
04/03,15 Economic,,System,SOLR,20,
04/03,16 Economic,,Local,SOLR,91,18
04/03,16 Economic,,System,SOLR,88,291
04/03,16 SelfSchCut,,Local,SOLR,11,26
04/03,17 Economic,,Local,SOLR,138,337
04/03,17 Economic,,System,SOLR,20,
04/03,17 SelfSchCut,,Local,SOLR,19,26
04/03,18 Economic,,Local,SOLR,10,55
04/03,18 Economic,,System,SOLR,0,
04/03,18 SelfSchCut,,Local,SOLR,2,9
04/03,19 Economic,,System,SOLR,0,5
