DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/25,8 Economic,,Local,SOLR,4,
02/25,8 Economic,,Local,WIND,0,
02/25,8 Economic,,System,SOLR,50,342
02/25,8 Economic,,System,WIND,0,2
02/25,9 Economic,,Local,SOLR,62,155
02/25,9 Economic,,Local,WIND,0,1
02/25,9 Economic,,System,SOLR,11,121
02/25,9 Economic,,System,WIND,0,0
02/25,10 Economic,,Local,SOLR,34,25
02/25,10 Economic,,Local,WIND,1,3
02/25,10 Economic,,System,SOLR,5,40
02/25,11 Economic,,Local,SOLR,22,13
02/25,11 Economic,,Local,WIND,3,2
02/25,11 Economic,,System,SOLR,120,358
02/25,11 Economic,,System,WIND,0,0
02/25,12 Economic,,Local,SOLR,11,2
02/25,12 Economic,,Local,WIND,3,4
02/25,12 Economic,,System,SOLR,72,324
02/25,12 Economic,,System,WIND,0,0
02/25,13 Economic,,System,SOLR,13,28
02/25,14 Economic,,System,SOLR,5,22
02/25,15 Economic,,System,SOLR,4,32
02/25,16 Economic,,Local,SOLR,4,47
02/25,16 Economic,,Local,WIND,4,23
02/25,16 Economic,,System,SOLR,2,
02/25,17 Economic,,System,SOLR,4,12
