DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/15,8 Economic,,Local,SOLR,95,225
02/15,8 Economic,,Local,WIND,2,8
02/15,8 Economic,,System,SOLR,14,127
02/15,8 Economic,,System,WIND,0,0
02/15,9 Economic,,Local,SOLR,6,
02/15,9 Economic,,System,SOLR,56,339
02/15,9 Economic,,System,WIND,2,6
02/15,10 Economic,,Local,SOLR,303,826
02/15,10 Economic,,Local,WIND,1,2
02/15,11 Economic,,Local,SOLR,170,327
02/15,11 Economic,,Local,WIND,2,3
02/15,12 Economic,,Local,SOLR,73,243
02/15,12 Economic,,Local,WIND,1,2
02/15,12 Economic,,System,SOLR,0,
02/15,13 Economic,,Local,SOLR,76,170
02/15,13 Economic,,Local,WIND,1,2
02/15,13 Economic,,System,SOLR,0,
02/15,14 Economic,,Local,SOLR,16,196
02/15,14 Economic,,Local,WIND,0,3
02/15,14 Economic,,System,SOLR,0,
02/15,15 Economic,,System,SOLR,41,176
02/15,15 Economic,,System,WIND,1,3
02/15,16 Economic,,System,SOLR,0,1
02/15,17 Economic,,System,SOLR,0,2
