DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/29,8 Economic,,Local,SOLR,1,5
03/29,8 Economic,,System,SOLR,1,
03/29,9 Economic,,Local,SOLR,128,22
03/29,9 Economic,,Local,WIND,1,
03/29,9 Economic,,System,SOLR,366,1133
03/29,9 Economic,,System,WIND,3,
03/29,10 Economic,,Local,SOLR,265,523
03/29,10 Economic,,System,SOLR,6,
03/29,10 Economic,,System,WIND,0,
03/29,10 SelfSchCut,,Local,SOLR,1,1
03/29,11 Economic,,Local,SOLR,245,564
03/29,12 Economic,,Local,SOLR,73,225
03/29,13 Economic,,Local,SOLR,48,51
03/29,13 Economic,,System,SOLR,66,208
03/29,13 Economic,,System,WIND,2,10
03/29,14 Economic,,Local,SOLR,91,60
03/29,14 Economic,,System,SOLR,62,220
03/29,14 Economic,,System,WIND,1,
03/29,15 Economic,,Local,SOLR,48,111
03/29,15 Economic,,System,SOLR,2,15
03/29,16 Economic,,Local,SOLR,91,104
03/29,16 Economic,,System,SOLR,69,265
03/29,16 Economic,,System,WIND,9,33
03/29,17 Economic,,Local,SOLR,16,34
03/29,18 Economic,,System,SOLR,152,809
03/29,18 Economic,,System,WIND,5,9
03/29,18 SelfSchCut,,Local,SOLR,0,
03/29,19 SelfSchCut,,Local,SOLR,0,1
